Phrase,SoundsLike,IPA,DisplayAs,Notes
A.-I.-assisted,,eɪ aɪ əˈsɪstəd,AI-Assisted,"Artificial Intelligence supported processes or tasks"
A.-I.-driven,,eɪ aɪ ˈdrɪvən,AI-Driven,"Primarily controlled by Artificial Intelligence"
A.-I.-enhanced,,eɪ aɪ ɪnˈhænst,AI-Enhanced,"Improved with Artificial Intelligence capabilities"
A.-I.-generated,,eɪ aɪ ˈdʒɛnəreɪtɪd,AI-Generated,"Content created by Artificial Intelligence"
A.-I.-powered,,eɪ aɪ ˈpaʊərd,AI-Powered,"Operated by Artificial Intelligence"
A.-P.-I.,,eɪ piː aɪ,API,"Application Programming Interface"
A.-P.-I.-gateway,,eɪ piː aɪ ˈgeɪtweɪ,API Gateway,"Manages API requests and routing"
A.-P.-I.-s,,eɪ piː aɪ ɛs,APIs,"Plural of API"
A.-R.,,eɪ ɑːr,AR,"Augmented Reality"
A.-W.-S.-I.-O.-T.,,eɪ ˈdʌbəljuː ɛs aɪ əʊ tiː,AWS IoT,"Amazon Web Services Internet of Things"
A.-W.-S.-W.-A.-F.,,eɪ ˈdʌbəljuː ɛs ˈdʌbəljuː eɪ ɛf,AWS WAF,"Amazon Web Services Web Application Firewall"
A.-W.-S.-iam,,eɪ ˈdʌbəljuː ɛs aɪ æm,AWS IAM,"Amazon Web Services Identity and Access Management"
B.-C.-I.,,biː siː aɪ,BCI,"Brain-Computer Interface"
B.-C.-I.-powered,,biː siː aɪ ˈpaʊərd,BCI-Powered,"Operated using brain-computer interface"
C.-C.-T.-V.,,siː siː tiː viː,CCTV,"Closed-Circuit Television"
C.-D.-N.,,siː diː ɛn,CDN,"Content Delivery Network"
C.-F.-R.,,siː ɛf ɑːr,CFR,"Code of Federal Regulations"
C.-I.-C.-D.,,siː aɪ siː diː,CI/CD,"Continuous Integration/Continuous Deployment"
C.-I.-pipeline,,siː aɪ ˈpaɪplaɪn,CI Pipeline,"Continuous Integration Pipeline"
C.-L.-I.,,siː ɛl aɪ,CLI,"Command Line Interface"
C.-M.-D.-B.,,siː ɛm diː biː,CMDB,"Configuration Management Database"
C.-P.-G.,,siː piː dʒiː,CPG,"Consumer Packaged Goods"
C.-Q.-R.-S.,,siː kjuː ɑːr ɛs,CQRS,"Command Query Responsibility Segregation"
C.-R.-I.-S.-P.-R.-based,,ˈkrɪspər beɪst,CRISPR-Based,"Using CRISPR gene editing technology"
C.-S.-R.-F.,,siː ɛs ɑːr ɛf,CSRF,"Cross-Site Request Forgery"
C.-T.-F.,,siː tiː ɛf,CTF,"Capture The Flag"
C.-plus-plus,,siː plʌs plʌs,C++,"Programming language"
D.-D.-O.-S.,,diː diː əʊ ɛs,DDoS,"Distributed Denial of Service"
D.-F.,,diː ɛf,DF,"Digital Forensics"
D.-N.-A.,,diː ɛn eɪ,DNA,"Deoxyribonucleic Acid"
D.-N.-S.,,diː ɛn ɛs,DNS,"Domain Name System"
D.-R.-I.,,diː ɑːr aɪ,DRI,"Directly Responsible Individual"
E.-E.-G.,,iː iː dʒiː,EEG,"Electroencephalogram"
E.-M.-P.,,iː ɛm piː,EMP,"Electromagnetic Pulse"
E.-T.-L.,,iː tiː ɛl,ETL,"Extract, Transform, Load"
E.-V.,,iː viː,EV,"Electric Vehicle"
E.-readers,,iː ˈriːdərz,E-Readers,"Digital book devices"
F.-T.-P.,,ɛf tiː piː,FTP,"File Transfer Protocol"
F.-T.-P.-S.,,ɛf tiː piː ɛs,FTPS,"FTP Secure"
G.-R.-P.-C.,,dʒiː ɑːr piː siː,GRPC,"gRPC Remote Procedure Call"
H.-C.-I.,,eɪtʃ siː aɪ,HCI,"Human-Computer Interaction or Hyperconverged Infrastructure"
H.-R.,,eɪtʃ ɑːr,HR,"Human Resources"
H.-T.-T.-P.-S.,,eɪtʃ tiː tiː piː ɛs,HTTPS,"Hypertext Transfer Protocol Secure"
I.-D.-E.,,aɪ diː iː,IDE,"Integrated Development Environment"
I.-D.-E.-A.-S.,,aɪ diː iː eɪ ɛs,IDEAS,"Integrated Development Environment with Advanced Services"
I.-M.,,aɪ ɛm,IM,"Instant Messaging"
I.-M.-O.-C.,,aɪ ɛm əʊ siː,IMOC,"In My Own Context"
I.-O.-T.,,aɪ əʊ tiː,IOT,"Internet of Things"
I.-O.-T.-enabled,,aɪ əʊ tiː ɪnˈeɪbəld,IoT-Enabled,"Connected to Internet of Things"
I.-R.,,aɪ ɑːr,IR,"Infrared"
I.-T.,,aɪ tiː,IT,"Information Technology"
J.-W.-T.,,dʒeɪ ˈdʌbəljuː tiː,JWT,"JSON Web Token"
J.-son,,ˈdʒeɪsən,JSON,"JavaScript Object Notation"
K.-E.-D.-B.,,keɪ iː diː biː,KEDB,"Known Error Database"
K.-eight-s-cluster,,keɪ eɪts ˈklʌstə,K8s Cluster,"Kubernetes Cluster"
K.-eights,,keɪ eɪts,K8s,"Short for Kubernetes"
L.-L.-M.,,ɛl ɛl ɛm,LLM,"Large Language Model"
L.-L.-M.-assisted,,ɛl ɛl ɛm əˈsɪstɪd,LLM-Assisted,"Supported by large language models"
L.-T.,,ɛl tiː,LT,"Long Term"
M.-L.,,ɛm ɛl,ML,"Machine Learning"
M.-T.-T.-R.,,ɛm tiː tiː ɑːr,MTTR,"Mean Time To Repair/Recovery"
M.-V.-C.,,ɛm viː siː,MVC,"Model-View-Controller"
N.-L.-P.,,ɛn ɛl piː,NLP,"Natural Language Processing"
N.-O.-C.,,ɛn əʊ siː,NOC,"Network Operations Center"
O.-A.-U.-T.-H.-two,,əʊ ɔːθ tuː,OAuth 2,"Open Authorization 2.0"
O.-K.-R.-s,,əʊ keɪ ɑːrz,OKRs,"Objectives and Key Results"
O.-R.-M.,,əʊ ɑːr ɛm,ORM,"Object-Relational Mapping"
O.-S.,,əʊ ɛs,OS,"Operating System"
P.-I.-R.,,piː aɪ ɑːr,PIR,"Passive Infrared"
P.-W.-A.,,piː ˈdʌbəljuː eɪ,PWA,"Progressive Web App"
P.-two-P.,,piː tuː piː,P2P,"Peer-to-Peer"
Q.-A.,,kjuː eɪ,QA,"Quality Assurance"
R.-C.-A.,,ɑːr siː eɪ,RCA,"Root Cause Analysis"
R.-E.-S.-T.-A.-P.-I.,,rɛst eɪ piː aɪ,REST API,"Representational State Transfer API"
R.-F.-C.,,ɑːr ɛf siː,RFC,"Request for Comments"
R.-F.-C.-s,,ɑːr ɛf siːz,RFCs,"Plural of RFC"
R.-F.-O.,,ɑːr ɛf əʊ,RFO,"Reason For Outage"
S.-D.-K.-s,,ɛs diː keɪz,SDKs,"Software Development Kits"
S.-E.-O.,,ɛs iː əʊ,SEO,"Search Engine Optimization"
S.-E.-V.,,ɛs iː viː,SEV,"Severity"
S.-F.-T.-P.,,ɛs ɛf tiː piː,SFTP,"SSH File Transfer Protocol"
S.-L.-A.,,ɛs ɛl eɪ,SLA,"Service Level Agreement"
S.-L.-I.,,ɛs ɛl aɪ,SLI,"Service Level Indicator"
S.-L.-O.,,ɛs ɛl əʊ,SLO,"Service Level Objective"
S.-M.-E.,,ɛs ɛm iː,SME,"Subject Matter Expert"
S.-O.-C.,,ɛs əʊ siː,SOC,"Security Operations Center"
S.-O.-P.,,ɛs əʊ piː,SOP,"Standard Operating Procedure"
S.-Q.-L.-injection,,ɛs kjuː ɛl ɪnˈdʒɛkʃən,SQL Injection,"Type of security vulnerability"
S.-R.-E.,,ɛs ɑːr iː,SRE,"Site Reliability Engineering"
S.-S.-H.,,ɛs ɛs eɪtʃ,SSH,"Secure Shell"
T.-D.-D.,,tiː diː diː,TDD,"Test-Driven Development"
T.-V.,,tiː viː,TV,"Television"
U.-I.,,juː aɪ,UI,"User Interface"
U.-I.-U.-X.,,juː aɪ juː ɛks,UI/UX,"User Interface/User Experience"
U.-I.-ready,,juː aɪ ˈrɛdi,UI-Ready,"Prepared for UI integration"
U.-X.,,juː ɛks,UX,"User Experience"
V.-M.,,viː ɛm,VM,"Virtual Machine"
V.-P.-N.,,viː piː ɛn,VPN,"Virtual Private Network"
V.-R.,,viː ɑːr,VR,"Virtual Reality"
V.-R.-based,,viː ɑːr beɪst,VR-Based,"Using virtual reality"
W.-W.-W.-dot-amazon-dot-com,,ˈdʌbəljuː ˈdʌbəljuː ˈdʌbəljuː dɒt ˈæməzɒn dɒt kɒm,www.amazon.com,"Amazon's website URL"
X.-A.-A.-S.,,zæs,XaaS,"Anything as a Service"
X.-R.,,ɛks ɑːr,XR,"Extended Reality"
X.-S.-R.-F.,,ɛks ɛs ɑːr ɛf,XSRF,"Cross-Site Request Forgery"
amazon-E.-C.-two,,ˈæməzɒn iː siː tuː,Amazon EC2,"Amazon Elastic Compute Cloud"
amazon-S.-three,,ˈæməzɒn ɛs θriː,Amazon S3,"Amazon Simple Storage Service"
amazon-elasticache,,ˈæməzɒn ɪˈlæstɪkæʃ,Amazon ElastiCache,"Amazon's in-memory data store and cache service"
amazon-sagemaker,,ˈæməzɒn seɪdʒ ˈmeɪkər,Amazon SageMaker,"Amazon's machine learning platform"
ay-jacks,,ˈeɪdʒæks,AJAX,"Asynchronous JavaScript and XML"
blockchain-based,,ˈblɒktʃeɪn beɪst,Blockchain-Based,"Using blockchain technology"
brain-computer,,breɪn kəmˈpjuːtər,Brain-Computer,"Brain-to-device communication systems"
computing-based,,kəmˈpjuːtɪŋ beɪst,Computing-Based,"Using computational methods"
context-aware,,ˈkɒntɛkst əˈweər,Context-Aware,"Responsive to environment"
cores,,kɔːz,CORS,"Cross-Origin Resource Sharing"
cross-platform,,krɒs ˈplætfɔːm,Cross-Platform,"Works on multiple platforms"
crud,,krʌd,CRUD,"Create, Read, Update, Delete"
cube-control,,kjuːb kənˈtrəʊl,kubectl,"Kubernetes command-line tool"
decision-making,,dɪˈsɪʒən ˈmeɪkɪŋ,Decision-Making,"Process of making choices"
devops,,dɛv ɒps,DevOps,"Development and Operations"
docker,,ˈdɒkər,Docker,"Containerization platform"
dot-net,,dɒt nɛt,.NET,"Microsoft's software development platform"
dry,,draɪ,DRY,"Don't Repeat Yourself"
dynamo-D.-B.,,daɪˈnæmoʊ diː biː,DynamoDB,"Amazon's NoSQL database service"
e-commerce,,iː ˈkɒmɜːs,E-Commerce,"Electronic Commerce"
eco-friendly,,ˈiːkəʊ ˈfrɛndli,Eco-Friendly,"Environmentally friendly"
elk,,ɛlk,ELK,"Elasticsearch, Logstash, Kibana"
end-to-end,,ɛnd tuː ɛnd,End-to-End,"Complete process flow"
engine-X.,,ˈɛndʒɪn ɛks,NGINX,"Web server software"
event-driven,,ɪˈvɛnt ˈdrɪvən,Event-Driven,"Responds to events"
git-hub,,ɡɪt hʌb,GitHub,"Version control platform"
git-lab,,ɡɪt læb,GitLab,"DevOps platform"
graph-Q.-L.,,ɡræf kjuː ɛl,GraphQL,"Query language for APIs"
hands-on,,hændz ɒn,Hands-On,"Practical approach"
high-performance,,haɪ pərˈfɔːməns,High-Performance,"Superior performance"
high-speed,,haɪ spiːd,High-Speed,"Fast operation"
iaas,,aɪ æs,IaaS,"Infrastructure as a Service"
jason,,ˈdʒeɪsən,JSON,"JavaScript Object Notation"
jot,,dʒɒt,JWT,"JSON Web Token"
kiss,,kɪs,KISS,"Keep It Simple, Stupid"
kubernetes,,kuːbərˈnɛtiːz,Kubernetes,"Container orchestration system"
lamp,,læmp,LAMP,"Linux, Apache, MySQL, PHP"
laravel,,ˈlærəvɛl,Laravel,"PHP web framework"
large-scale,,lɑːdʒ skeɪl,Large-Scale,"Extensive in scope"
lemp,,lɛmp,LEMP,"Linux, Nginx, MySQL, PHP"
long-term,,lɒŋ tɜːm,Long-Term,"Extended time period"
low-latency,,ləʊ ˈleɪtənsi,Low-Latency,"Minimal delay"
mean,,miːn,MEAN,"MongoDB, Express, Angular, Node.js"
mern,,mɜːn,MERN,"MongoDB, Express, React, Node.js"
near-real-time,,nɪər riəl taɪm,Near-Real-Time,"Minimal processing delay"
nice-D.-C.-V.,,naɪs diː siː viː,NICE DCV,"Remote display protocol"
no-sequel,,nəʊ ˈsiːkwəl,NoSQL,"Not Only SQL"
non-invasive,,nɒn ɪnˈveɪsɪv,Non-Invasive,"Without physical intrusion"
on-premises,,ɒn ˈprɛmɪsɪz,On-Premises,"Locally installed software/hardware"
opt-in,,ɒpt ɪn,Opt-In,"Choosing to participate"
pass,,pæs,PaaS,"Platform as a Service"
paws,,pɔːz,PaaS,"Platform as a Service"
peer-to-peer,,pɪər tə pɪər,Peer-to-Peer,"Direct communication between parties"
problem-solving,,ˈprɒbləm ˈsɒlvɪŋ,Problem-Solving,"Finding solutions"
real-time,,riəl taɪm,Real-Time,"Immediate processing"
real-world,,riəl wɜːld,Real-World,"Practical experiences"
reg-X.,,rɛdʒ ɛks,Regex,"Regular Expression"
repel,,rɪˈpɛl,REPL,"Read-Eval-Print Loop"
restful,,ˈrɛstfʊl,RESTful,"Conforming to REST architecture"
sass,,sæs,SaaS,"Software as a Service"
sea-quill,,siː kwɪl,SQL,"Structured Query Language"
sea-surf,,siː sɜːf,CSRF,"Cross-Site Request Forgery"
sequel,,ˈsiːkwəl,SQL,"Structured Query Language"
skill-building,,skɪl ˈbɪldɪŋ,Skill-Building,"Improving abilities"
soap,,səʊp,SOAP,"Simple Object Access Protocol"
spa,,spɑː,SPA,"Single Page Application"
tamper-proof,,ˈtæmpə pruːf,Tamper-Proof,"Resistant to unauthorized access"
thought-based,,θɔːt beɪst,Thought-Based,"Controlled by brain activity"
time-travel,,taɪm ˈtrævəl,Time-Travel,"Accessing past data states"
up-to-date,,ʌp tə deɪt,Up-to-Date,"Current information"
view-J.-S.,,vjuː dʒeɪ ɛs,View.js,"JavaScript framework"
well-being,,wɛl ˈbiːɪŋ,Well-Being,"State of being healthy and happy"
windows,,ˈwɪndəʊz,Windows,"Microsoft operating system"
wizzy-wig,,ˈwɪzi wɪɡ,WYSIWYG,"What You See Is What You Get"
work-life,,wɜːk laɪf,Work-Life,"Balance between work and personal life"
yag-nee,,jæɡ niː,YAGNI,"You Ain't Gonna Need It"
yam-ul,,jæm əl,YAML,"YAML Ain't Markup Language"
yo-low,,jəʊ ləʊ,YOLO,"You Only Live Once"
zero-trust,,ˈzɪərəʊ trʌst,Zero Trust,"Security concept"
